reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,696,1,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,696,2,2,0,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,696,3,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,696,4,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,696,5,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,696,6,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,696,7,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,696,8,2,2,2,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,696,9,2,0,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,696,10,1,1,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,696,11,2,3,0,0,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,696,12,1,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,822,1,2,2,2,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,822,2,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,822,3,2,0,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,822,4,2,2,2,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,822,5,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,822,6,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,822,7,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,822,9,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,822,8,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,822,10,0,0,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,822,11,1,2,2,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,822,12,0,2,2,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,478,1,0,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,478,2,2,0,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,478,3,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,478,4,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,478,5,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,478,6,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,478,7,0,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,478,8,2,2,2,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,478,9,2,0,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,478,10,1,1,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,478,11,0,3,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,478,12,1,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,461,1,0,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,461,2,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,461,3,2,1,1,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,461,4,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,461,5,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,461,6,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,461,7,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,461,8,2,2,2,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,461,9,2,0,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,461,10,1,1,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,461,11,0,3,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,461,12,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,492,1,0,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,492,2,1,0,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,492,3,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,492,4,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,492,5,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,492,6,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,492,7,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,492,8,0,2,2,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,492,9,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,492,10,1,1,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,492,11,2,3,0,0,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,492,12,0,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,302,1,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,302,2,0,0,0,1,1
